tag,fused,head,f1_mean,f1_std,delta_vs_lin_adamw,best
dinov3_vitb16_lvd_FROZEN_fused_ctx1024_frac100_seed0,True,lin_lbfgs,0.4862,0.0,,0.001
dinov3_vitb16_lvd_FROZEN_fused_ctx1024_frac100_seed0,True,lin_adamw,0.4686,0.0023,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_FROZEN_fused_ctx1024_frac100_seed0,True,mlp2,0.4812,0.0046,0.0127,"(256, 0.5, 0.0001)"
dinov3_vitb16_lvd_FROZEN_fused_ctx1024_frac100_seed0,True,bil_diag,0.4641,0.0043,-0.0045,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_FROZEN_fused_ctx1024_frac100_seed0,True,film,0.4661,0.004,-0.0024,"(512, 0.2, 0.0)"
dinov3_vitb16_lvd_FROZEN_fused_ctx2048_frac100_seed0,True,lin_lbfgs,0.4715,0.0,,0.001
dinov3_vitb16_lvd_FROZEN_fused_ctx2048_frac100_seed0,True,lin_adamw,0.4501,0.0044,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_FROZEN_fused_ctx2048_frac100_seed0,True,mlp2,0.4623,0.005,0.0122,"(256, 0.5, 0.0)"
dinov3_vitb16_lvd_FROZEN_fused_ctx2048_frac100_seed0,True,bil_diag,0.4578,0.005,0.0077,"(256, 0.5, 0.0)"
dinov3_vitb16_lvd_FROZEN_fused_ctx2048_frac100_seed0,True,film,0.4524,0.0039,0.0024,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_FROZEN_fused_ctx512_frac100_seed0,True,lin_lbfgs,0.4953,0.0,,0.001
dinov3_vitb16_lvd_FROZEN_fused_ctx512_frac100_seed0,True,lin_adamw,0.4821,0.0033,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_FROZEN_fused_ctx512_frac100_seed0,True,mlp2,0.4891,0.0015,0.007,"(256, 0.5, 0.0)"
dinov3_vitb16_lvd_FROZEN_fused_ctx512_frac100_seed0,True,bil_diag,0.4835,0.0011,0.0013,"(256, 0.5, 0.0)"
dinov3_vitb16_lvd_FROZEN_fused_ctx512_frac100_seed0,True,film,0.4782,0.009,-0.0039,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dA_tEMA_ctx1024_r2a4_frac100_seed0,False,lin_lbfgs,0.4854,0.0,,0.001
dinov3_vitb16_lvd_ctxdistill_dA_tEMA_ctx1024_r2a4_frac100_seed0,False,lin_adamw,0.4769,0.0023,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dA_tEMA_ctx1024_r2a4_frac100_seed0,False,mlp2,0.479,0.0037,0.0021,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dA_tEMA_ctx1024_r2a4_frac100_seed1,False,lin_lbfgs,0.4837,0.0,,0.001
dinov3_vitb16_lvd_ctxdistill_dA_tEMA_ctx1024_r2a4_frac100_seed1,False,lin_adamw,0.4742,0.0047,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dA_tEMA_ctx1024_r2a4_frac100_seed1,False,mlp2,0.4691,0.0021,-0.005,"(512, 0.5, 0.0001)"
dinov3_vitb16_lvd_ctxdistill_dA_tEMA_ctx1024_r2a4_frac100_seed2,False,lin_lbfgs,0.4816,0.0,,0.001
dinov3_vitb16_lvd_ctxdistill_dA_tEMA_ctx1024_r2a4_frac100_seed2,False,lin_adamw,0.4707,0.0047,,"(0, 0.0, 0.0001)"
dinov3_vitb16_lvd_ctxdistill_dA_tEMA_ctx1024_r2a4_frac100_seed2,False,mlp2,0.4707,0.0051,-0.0,"(512, 0.5, 0.0001)"
dinov3_vitb16_lvd_ctxdistill_dA_tL_ctx1024_r2a4_frac100_seed0,False,lin_lbfgs,0.4857,0.0,,0.001
dinov3_vitb16_lvd_ctxdistill_dA_tL_ctx1024_r2a4_frac100_seed0,False,lin_adamw,0.4754,0.0019,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dA_tL_ctx1024_r2a4_frac100_seed0,False,mlp2,0.4809,0.0021,0.0054,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dA_tL_ctx1024_r2a4_frac100_seed1,False,lin_lbfgs,0.4873,0.0,,0.001
dinov3_vitb16_lvd_ctxdistill_dA_tL_ctx1024_r2a4_frac100_seed1,False,lin_adamw,0.4767,0.0026,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dA_tL_ctx1024_r2a4_frac100_seed1,False,mlp2,0.4758,0.0041,-0.0009,"(512, 0.5, 0.0001)"
dinov3_vitb16_lvd_ctxdistill_dA_tL_ctx1024_r2a4_frac100_seed2,False,lin_lbfgs,0.4879,0.0,,0.001
dinov3_vitb16_lvd_ctxdistill_dA_tL_ctx1024_r2a4_frac100_seed2,False,lin_adamw,0.477,0.0017,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dA_tL_ctx1024_r2a4_frac100_seed2,False,mlp2,0.4812,0.0054,0.0042,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed0,True,lin_lbfgs,0.5097,0.0,,0.0001
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed0,True,lin_adamw,0.4957,0.001,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed0,True,mlp2,0.5033,0.0021,0.0076,"(256, 0.5, 0.0001)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed0,True,bil_diag,0.4974,0.0074,0.0017,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed0,True,film,0.498,0.0062,0.0023,"(256, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed1,True,lin_lbfgs,0.5069,0.0,,0.0001
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed1,True,lin_adamw,0.4908,0.0005,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed1,True,mlp2,0.4901,0.0066,-0.0007,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed1,True,bil_diag,0.4957,0.0075,0.0049,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed1,True,film,0.494,0.0033,0.0032,"(256, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed2,True,lin_lbfgs,0.5072,0.0,,0.0001
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed2,True,lin_adamw,0.4975,0.0009,,"(0, 0.0, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed2,True,mlp2,0.4986,0.004,0.0011,"(256, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed2,True,bil_diag,0.4965,0.0042,-0.001,"(512, 0.5, 0.0)"
dinov3_vitb16_lvd_ctxdistill_dB_tL_ctx1024_r2a4_frac100_seed2,True,film,0.4868,0.0021,-0.0106,"(512, 0.2, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,lin_lbfgs,0.483,0.0,,0.0001
dinov3_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,lin_adamw,0.4677,0.0048,,"(0, 0.0, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,mlp2,0.467,0.0003,-0.0007,"(512, 0.5, 0.0001)"
dinov3_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,bil_diag,0.4702,0.0074,0.0025,"(256, 0.5, 0.0001)"
dinov3_vitl16_FROZEN_fused_ctx1024_frac100_seed0,True,film,0.4656,0.0053,-0.0021,"(256, 0.5, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,lin_lbfgs,0.4636,0.0,,0.001
dinov3_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,lin_adamw,0.4526,0.0028,,"(0, 0.0, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,mlp2,0.4517,0.0018,-0.0009,"(256, 0.5, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,bil_diag,0.4553,0.004,0.0028,"(256, 0.5, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx2048_frac100_seed0,True,film,0.4439,0.0063,-0.0086,"(256, 0.5, 0.0)"
dinov3_vitl16_FROZEN_fused_ctx512_frac100_seed0,True,lin_lbfgs,0.4973,0.0,,0.001
