target,population,n,metric,label,rho,ci95_low,ci95_high,p,p_bh,signif_ci,signif_bh,loo_rho_min,loo_rho_max
delta_f1_pres,all,20,rankme_sigma_raw,"RankMe (σ, bruts)",0.47218045112781953,0.01966717095310136,0.7719047189599143,0.035542393671931995,0.05468060564912614,True,False,0.39824561403508774,0.5421052631578946
delta_f1_pres,all,20,rankme_sigma_centered,"RankMe (σ, centrés)",0.10977443609022557,-0.3793076979457867,0.5862687069305552,0.6450049409876998,0.6789525694607367,False,False,-0.0017543859649122807,0.22982456140350876
delta_f1_pres,all,20,eff_rank_sigma2,"Rang effectif (σ², centrés)",0.5624060150375939,0.17661272955516769,0.8363674560733385,0.009844300033055812,0.017898727332828747,True,True,0.48947368421052634,0.6526315789473683
delta_f1_pres,all,20,rankme_sigma_raw_norm,RankMe (σ) normalisé,0.6451127819548872,0.27779245741073083,0.8604272269395925,0.002130692970440682,0.008055264656110438,True,True,0.5859649122807017,0.6807017543859648
delta_f1_pres,all,20,eff_rank_sigma2_norm,Rang effectif (σ²) normalisé,0.5624060150375939,0.19816893249370215,0.8194233687405159,0.009844300033055812,0.017898727332828747,True,True,0.48947368421052634,0.6280701754385966
delta_f1_pres,all,20,stable_rank,Stable rank (= NESum),0.6721804511278194,0.3429282203468423,0.8629275427542754,0.0011684302903722896,0.005842151451861448,True,True,0.6175438596491227,0.7175438596491229
delta_f1_pres,all,20,participation_ratio,Participation ratio,0.5924812030075187,0.2004406139124204,0.831566166717095,0.005910465902184198,0.01313436867152044,True,True,0.524561403508772,0.6596491228070176
delta_f1_pres,all,20,alpha_spectral,Exposant spectral α,-0.4060150375939849,-0.707546413233299,-0.028733581057725846,0.0756893721143978,0.09461171514299725,True,False,-0.4807017543859649,-0.3298245614035088
delta_f1_pres,all,20,aniso_cosine,Anisotropie (cosinus moyen),-0.7398496240601502,-0.9136515104628335,-0.4059356261630719,0.00019241032720557425,0.003848206544111485,True,True,-0.780701754385965,-0.7017543859649124
delta_f1_pres,all,20,aniso_spectral,Anisotropie spectrale (λ₁·D/Σλ),-0.6030075187969924,-0.8246951219512194,-0.24749660333736195,0.004886612315025843,0.012558006467205087,True,True,-0.6894736842105263,-0.5368421052631579
delta_f1_pres,all,20,fisher_ratio,Ratio de Fisher,0.0,-0.41885510269202647,0.4227645745343763,1.0,1.0,False,False,-0.10175438596491228,0.1
delta_f1_pres,all,20,knn_purity,Pureté k-NN (k=10),0.6390977443609022,0.3368360004548906,0.8199915995824191,0.0024165793968331313,0.008055264656110438,True,True,0.6052631578947367,0.7017543859649124
delta_f1_pres,all,20,intrinsic_dim_twonn,Dimension intrinsèque (TwoNN),-0.42105263157894735,-0.767694652928473,0.036566858931076966,0.06448807512897045,0.0859841001719606,False,False,-0.5333333333333333,-0.3245614035087719
delta_f1_pres,all,20,nc1_canonical,NC1 — dispersion intra / inter,0.12180451127819547,-0.359644647774523,0.5369414778089003,0.6089566221649011,0.6766184690721123,False,False,-0.012280701754385965,0.21052631578947367
delta_f1_pres,all,20,silhouette,Silhouette,0.6977443609022556,0.37021802010019084,0.879488814695327,0.0006253881635147672,0.004856563532209703,True,True,0.6614035087719298,0.780701754385965
