model,probe_f1_pres,probe_accuracy,probe_f1_weighted,probe_best_C,knn_k5_f1,knn_k5_acc,knn_k10_f1,knn_k10_acc,knn_k20_f1,knn_k20_acc,knn_k50_f1,knn_k50_acc,knn_best_k,knn_best_f1,delta_probe_knn
vitb16_fulft_arctic,0.4796229796373906,0.7122968519149904,0.7022218407507034,0.001,0.42671031621323313,0.6607000795544948,0.44520687974840567,0.6845664280031821,0.4539248987549243,0.6930332992385498,,,20,0.4539248987549243,0.02569808088246628
dinov3_vitl16_lvd,0.47916273349462907,0.7125809751108081,0.704446932935895,0.001,0.39529309545257846,0.6277986134788044,0.4097658835104376,0.654733492442323,0.42201920570685564,0.669223775429026,,,20,0.42201920570685564,0.05714352778777343
simdinov2_vitl16,0.47597155170946337,0.709001022843505,0.6986282002359452,0.001,0.40768413956217625,0.6331401295601773,0.4254541936382037,0.6588248664620979,0.4380758134370531,0.6710989885214229,,,20,0.4380758134370531,0.03789573827241027
vitb16_arctic,0.47594375510977405,0.7103079895442664,0.7004467818758522,0.001,0.4300619111162304,0.6608705534719854,0.44082825275483584,0.6780315944993749,0.45307511470984435,0.6901920672803727,,,20,0.45307511470984435,0.022868640399929696
simdinov2_vitb16,0.47225573315523817,0.7025798386180248,0.6922450067840252,0.001,0.41235240571529647,0.6413228775997273,0.43005466317982943,0.6608137288328219,0.44095831794656354,0.6713831117172406,,,20,0.44095831794656354,0.03129741520867463
dinov3_vitb16_lvd,0.47121235368306935,0.7028639618138425,0.6944393316102794,0.001,0.3927835854301973,0.6207523582225253,0.4112853140740044,0.6438231617229231,0.41934889910686485,0.6555858620297761,,,20,0.41934889910686485,0.051863454576204504
resnet50_arctic,0.4619647249666036,0.6968405500625071,0.6883161958700263,0.0001,0.41959478997620214,0.6464939197636095,0.4332020312232599,0.6635413115126719,0.44057972819744734,0.6707580406864416,,,20,0.44057972819744734,0.021384996769156284
dinov3_vitl16_sat,0.461743913216879,0.6928628253210593,0.6865996402775763,0.001,0.3455401752949317,0.5719968178202068,0.36454780096075223,0.6020570519377202,0.3730763562697037,0.6167178088419139,,,20,0.3730763562697037,0.08866755694717532
vitb16_imagenet,0.4499673184267636,0.6758154335719968,0.6676629790919727,0.01,0.35617763105984346,0.5767132628707807,0.371291841796924,0.6022275258552108,0.37822979090311537,0.6154108421411524,,,20,0.37822979090311537,0.0717375275236482
scalemae_vitl16,0.448252745366114,0.6783725423343562,0.6723045870411685,0.01,0.3253498504772629,0.5311967269007842,0.3393707401705284,0.5531310376179112,0.34475911160417466,0.5683032162745767,,,20,0.34475911160417466,0.10349363376193932
satmae_vitl16,0.409340831623318,0.6317763382202523,0.6284359718661677,0.01,0.3289174867096628,0.5385271053528811,0.34464078540524623,0.5630185248323674,0.35321655777640376,0.57557677008751,,,20,0.35321655777640376,0.05612427384691426
resnet50_imagenet,0.40766546468889137,0.6295601772928742,0.6241971511770547,0.001,0.3375550510857486,0.543243550403455,0.3500365412042726,0.563188998749858,0.3587968891650402,0.5795544948289578,,,20,0.3587968891650402,0.048868575523851154
