model,display,layer,dim,rankme_sigma_raw,eff_rank_sigma2,aniso_cosine,silhouette,knn_purity,fisher_ratio,nc1_canonical,f1_macro_pres,best_C,source
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,0,1024,2.3637349317296295,4.092944404767493,0.9961755871772766,-0.08660825473055084,0.509,0.2314495985327776,2.618075744336826,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,1,1024,3.193883677698292,5.2849358565787306,0.9961104393005371,-0.08277302883821422,0.50788,0.21063078263583965,2.7860242454170105,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,2,1024,8.815378378888312,8.562328966667842,0.9910842776298523,-0.048142449909263765,0.57224,0.30234992335293903,2.2537743407890876,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,3,1024,12.715153282597534,9.17200164018096,0.9910417795181274,-0.049633679255554314,0.5709,0.27610339126601957,2.301507997149039,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,4,1024,16.8839507362461,10.370820423891569,0.9917446970939636,-0.041832648683228044,0.5845,0.2677488769265941,2.2124695631792597,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,5,1024,13.789479221523527,12.542525049143954,0.9942155480384827,-0.03649076207555076,0.58134,0.27542355646988254,2.494885468017762,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,6,1024,18.524166500817433,16.670962745964392,0.9946979284286499,-0.03238235296961204,0.60856,0.26350114834747623,2.56700627034409,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,7,1024,36.17813921571099,21.78286742721274,0.9910516738891602,-0.02747273741450206,0.6184,0.23501176985524605,2.9826248259531853,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,8,1024,62.277621466457525,30.00128773818915,0.9863269329071045,-0.03433917292506591,0.6248,0.22076884683944226,3.0204048343077243,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,9,1024,74.31395441902181,26.439006679391657,0.9813234210014343,-0.03961077942348256,0.61332,0.2032181421898992,3.067082143676095,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,10,1024,96.83964554028627,34.91222950604333,0.9793950319290161,-0.033782681805683064,0.61758,0.20016463464988501,3.320717841867384,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,11,1024,155.24237650790738,44.16761158249652,0.9604701399803162,-0.03537148828368608,0.6104,0.1803442320482991,4.208085205975303,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,12,1024,170.41315813591598,45.04650880269007,0.956210732460022,-0.03278993245596409,0.61488,0.1926842049272479,3.8472077337814516,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,13,1024,178.7035962586864,51.83490452672051,0.9606543183326721,-0.03174138853992491,0.60888,0.1737833990805707,4.4834057682026485,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,14,1024,151.963596600866,46.34205693769284,0.9689521193504333,-0.03424846290141376,0.61178,0.17749363315261682,4.456830596667069,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,15,1024,183.22177507450346,46.535004437853274,0.958652913570404,-0.03422802899882216,0.60666,0.1718011268607606,4.822430114416883,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,16,1024,205.70951117820522,45.639922464479284,0.9474814534187317,-0.026136722454390058,0.58862,0.1555231214128153,5.510566572308234,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,17,1024,235.3864293758781,39.31279720681281,0.91037517786026,-0.02720562692439559,0.56756,0.135898870256925,6.284546750406904,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,18,1024,229.327211749955,42.16081783170049,0.9270246028900146,-0.02805795259965887,0.55982,0.1240078162681514,6.973978025513808,,,"recalcul 2026-07-25 (test, n=17598)"
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,19,1024,210.8075385812187,43.26582651704612,0.9389050602912903,-0.02449708400086657,0.5513,0.1216716177721789,7.614274989307687,,,"recalcul 2026-07-25 (test, n=17598)"
