model,display,type,dim,n_seeds,probe,f1_pres,accuracy,f1_weighted,best_C,ALDE,ARCA,BIRC,DRYI,LICH,MOSS,PETF,RUBC,SEDG,TUSS,WILL
dinov3_vitl16_lvd_lora,DINOv3 ViT-L/16 LoRA r=8,ft_fresh,768,3,interne_run,0.4841750080797749,0.723491305830208,nan,0.0001,0.9595995300210288,0.0,0.8442042210044326,0.0,0.6393763906767672,0.5290078109479429,0.5072977679761713,0.0,0.621805411620477,0.7532308423847592,0.47140311424594544
simdinov2_vitl16_lora,SimDINOv2 ViT-L/16 LoRA r=8,ft_fresh,768,3,interne_run,0.4833880286957488,0.7226578777891427,nan,0.001,0.9549483453479081,0.011695906432748537,0.8486882602763343,0.0,0.6338353908985772,0.528021934734551,0.5046408942111166,0.0,0.6101780287924007,0.7542520289926579,0.47100752596694195
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,768,3,interne_run,0.48286520387620163,0.7170701216047278,nan,0.001,0.9596245278707904,0.0,0.8398089709191986,0.0,0.64148504803048,0.5204772351637993,0.5066739247882976,0.0,0.617937302397665,0.7435988368480161,0.48191139661997157
simdinov2_vitb16_lora_r8_qkv,SimDINOv2-B LoRA r8 (Q+K+V),ft_fresh,768,3,interne_run,0.4812187368295289,0.7172784786149942,nan,0.001,0.9557929285568144,0.0,0.841819297871885,0.0,0.6390936087739701,0.517712288351366,0.5151103869349615,0.0,0.60283365133618,0.7422031626524582,0.47884078064718266
simdinov2_vitb16_lora_r8_b911,SimDINOv2-B LoRA r8 (blocs 9-11),ft_fresh,768,3,interne_run,0.4805405423976481,0.7148160775845741,nan,0.001,0.956764613354713,0.0,0.8348931570058015,0.0,0.6460267546589339,0.5114655900631232,0.5154001330171765,0.0,0.6103519987408329,0.7361039034410742,0.47493981609247427
simdinov2_vitb16_lora_r8_b611,SimDINOv2-B LoRA r8 (blocs 6-11),ft_fresh,768,3,interne_run,0.4801717184901559,0.7167859984089101,nan,0.001,0.9554650603794638,0.0,0.8423354250099168,0.0,0.6360532072229449,0.511333507735644,0.5031640277342444,0.0,0.6071764334403379,0.7428540183770697,0.4835072234920934
simdinov2_vitb16_lora_r2,SimDINOv2-B LoRA r2,ft_fresh,768,3,interne_run,0.479358340338645,0.716539758305868,nan,0.001,0.9548704739705905,0.0,0.8440474166284414,0.0,0.6337500098079295,0.5128257561445534,0.5042180039026485,0.0,0.6046049449444407,0.7429894647234706,0.47563567360302
dinov3_vitl16_lvd,DINOv3 ViT-L/16 LVD,frozen,1024,1,canonique_cgrid,0.47916273349462907,0.7125809751108081,0.704446932935895,0.001,0.9516632016632016,0.0,0.8477126805778491,0.0,0.639821029082774,0.5228539576365663,0.5177472787505916,0.0,0.5993923611111112,0.7215710153752474,0.47002854424357754
dinov3_vitb16_lvd_mhsa,DINOv3 ViT-B/16 MHSA,ft_fresh,768,3,interne_run,0.47910329976380456,0.714437246656817,nan,0.0001,0.9582114342911924,0.011594202898550725,0.8416560440747438,0.0,0.6256542326120218,0.5055034905236525,0.49695426394618636,0.0,0.6122031378421317,0.7405856553360971,0.4777738358772739
dinov3_vitb16_lvd_full,DINOv3 ViT-B/16 Full,ft_fresh,768,3,interne_run,0.4788588265221261,0.7110277683070046,nan,0.001,0.955881040762566,0.03881665724514791,0.8298222032356589,0.0,0.6338035297226275,0.5070997077195615,0.5028740467964772,0.0,0.6112828199352212,0.7451021312411522,0.44276495508497343
simdinov2_vitb16_lora_r4,SimDINOv2-B LoRA r4,ft_fresh,768,3,interne_run,0.47852268596898373,0.7145508959351442,nan,0.001,0.955424590926745,0.0,0.8412636133680905,0.0,0.6346661316029464,0.5116871848259019,0.5076673194043086,0.0,0.6036532588934446,0.7396810874078374,0.46970635922954623
simdinov2_vitb16_full,SimDINOv2 ViT-B/16 Full,ft_fresh,768,3,interne_run,0.4781627498055189,0.7161419858317233,nan,0.0001,0.952046170366196,0.0,0.847159269054165,0.0,0.6264064150952618,0.5116560899804083,0.4989237632444121,0.0,0.5891939785660986,0.7455683275034114,0.4888362340507555
simdinov2_vitb16_norm_tuning,SimDINOv2-B NormTuning,ft_fresh,768,3,interne_run,0.47810824419246706,0.7119369625336213,nan,0.001,0.9553921519962413,0.0,0.8368785846264298,0.0,0.6373476576114415,0.5010442900199972,0.5117775550587207,0.0,0.6009551536997823,0.7348329568859171,0.4809623362186079
simdinov2_vitb16_lora,SimDINOv2 ViT-B/16 LoRA r=8,ft_fresh,768,3,interne_run,0.4780865368751832,0.7144751297495927,nan,0.001,0.9539320581139971,0.0,0.8427041564608565,0.0,0.6377131457999189,0.5146493295475992,0.4976760560330696,0.0,0.5997930877582447,0.739656183856689,0.47282788805664006
simdinov2_vitb16_lora_r8_b05,SimDINOv2-B LoRA r8 (blocs 0-5),ft_fresh,768,3,interne_run,0.47705017152829704,0.7127703905746866,nan,0.001,0.9518452455680423,0.0,0.8402470590718426,0.0,0.6383640410645092,0.5097201222173968,0.5169039315506089,0.0,0.6021004849052268,0.7377953700797422,0.45057563235389847
simdinov2_vitb16_lora_r16,SimDINOv2-B LoRA r16,ft_fresh,768,3,interne_run,0.47692386560178246,0.7133765200590977,nan,0.001,0.9537492747507046,0.0,0.8418656475496032,0.0,0.6312824324693468,0.516222703293382,0.4913432609060125,0.0,0.598449745062689,0.7384480583219984,0.47480139926587056
simdinov2_vitb16_lora_r8_s2,SimDINOv2-B LoRA r8 (scaling 2),ft_fresh,768,3,interne_run,0.476065304441835,0.7125620335644202,nan,0.001,0.9544974482882317,0.0,0.8419486091046657,0.0,0.6371051185595774,0.5117206249126648,0.4906344077381923,0.0,0.5934604590687897,0.738073374721738,0.46927830646632535
simdinov2_vitl16,SimDINOv2 ViT-L/16,frozen,1024,1,canonique_cgrid,0.47597155170946337,0.709001022843505,0.6986282002359452,0.001,0.9421106557377049,0.0,0.8330168881782752,0.0,0.6339082329970712,0.4982638888888889,0.48769819573537454,0.0,0.6122366288492707,0.7325102880658436,0.49594229035166815
simdinov2_vitb16_lora_r8_rslora,SimDINOv2-B LoRA r8 (rsLoRA),ft_fresh,768,3,interne_run,0.47534261736044764,0.711974845626397,nan,0.001,0.9548178145515864,0.0,0.8418252832608312,0.0,0.6382365033869434,0.5136986325273167,0.4857470657391807,0.0,0.5911068763873093,0.7364992181107963,0.46683739700096033
simdinov2_vitb16_lora_r32,SimDINOv2-B LoRA r32,ft_fresh,768,3,interne_run,0.47509292322129903,0.7111982422244951,nan,0.001,0.9542058756524378,0.0,0.8408776846836173,0.0,0.6342992812494241,0.5134069021469924,0.48227008749935,0.0,0.5932552478747192,0.7355988306846087,0.4721082456431403
simdinov2_vitb16_lora_r16_s2,SimDINOv2-B LoRA r16 (scaling 2),ft_fresh,768,3,interne_run,0.4749766116464262,0.711974845626397,nan,0.001,0.9544140177073098,0.0,0.8410724737979808,0.0,0.6332190647159363,0.5159115009280236,0.47915043252666784,0.0,0.5964248277128731,0.7365484794370799,0.46800193128481626
vitb16_full_old,ViT-B/16 IN-Full,ft_old,768,3,interne_run,0.4746724448992099,0.7080160624313369,nan,0.001,0.9571952601839177,0.011595079653155878,0.8298507172537445,0.0,0.6386416275790228,0.5023232056346378,0.48966055773239753,0.0,0.5929964089093418,0.7423600608067247,0.45677397613836623
simdinov2_vitb16_lora_r16_rslora,SimDINOv2-B LoRA r16 (rsLoRA),ft_fresh,768,3,interne_run,0.4735674177585574,0.7092662044929349,nan,0.001,0.9536884644019613,0.011594202898550725,0.8401787805141199,0.0,0.6316803543494106,0.5043173054088269,0.4747447424918542,0.0,0.5905008789168762,0.7355177644175116,0.46701910194501967
simdinov2_vitb16,SimDINOv2 ViT-B/16,frozen,768,1,canonique_cgrid,0.47225573315523817,0.7025798386180248,0.6922450067840252,0.001,0.9484270242392986,0.0,0.827049670855775,0.0,0.6427416747494342,0.483343428225318,0.4826481580352376,0.0,0.5895384615384616,0.724013257005122,0.4970513900589722
dinov3_vitb16_lvd,DINOv3 ViT-B/16 LVD,frozen,768,1,canonique_cgrid,0.47121235368306935,0.7028639618138425,0.6944393316102794,0.001,0.9444732745199792,0.0,0.8223421262989609,0.0,0.6298092466860653,0.518897414038079,0.49974606399187405,0.0,0.6099201345102985,0.7219407339167818,0.4362068965517241
simdinov2_vitb16_mhsa,SimDINOv2 ViT-B/16 MHSA,ft_fresh,768,3,interne_run,0.46904206227358286,0.7025608970716369,nan,0.001,0.9536423656064267,0.017543859649122806,0.8333574119178718,0.0,0.6202046623896674,0.5059407828791763,0.4550254566942722,0.0,0.5858862715455592,0.724417875249426,0.4634439990778884
vitb16_mhsa_old,ViT-B/16 IN-MHSA,ft_old,768,3,interne_run,0.4687417680652947,0.7016138197522447,nan,0.001,0.9544777379668683,0.011299435028248588,0.8231734584848369,0.0,0.6431428934335273,0.48482211583368934,0.4833638487041148,0.0,0.598037026589816,0.7362572142903586,0.421585718386782
