model,display,fraction,n_train_tiles,n_seeds,ALDE,ALDE_std,ARCA,ARCA_std,BIRC,BIRC_std,DRYI,DRYI_std,LICH,LICH_std,MOSS,MOSS_std,PETF,PETF_std,RUBC,RUBC_std,SEDG,SEDG_std,TUSS,TUSS_std,WILL,WILL_std
dinov3_vitb16_lvd_full,DINOv3 ViT-B/16 Full,1.0,49281,3,0.955881040762566,0.0028814983523950954,0.03881665724514791,0.0411551092139869,0.8298222032356589,0.004444490699466403,0.0,0.0,0.6338035297226275,0.0009319908468292281,0.5070997077195615,0.007605618173285067,0.5028740467964772,0.015613615267581551,0.0,0.0,0.6112828199352212,0.00754811242280814,0.7451021312411522,0.007714233567613179,0.44276495508497343,0.014392119780403171
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,0.005,247,3,0.8631909384697883,0.0588454780881366,0.0,0.0,0.7958115367049002,0.019991511877484148,0.0,0.0,0.5501897672510218,0.01934739520935138,0.3444456823245769,0.027254703173162,0.37429045246114573,0.012243927981341123,0.0,0.0,0.5158777564909766,0.009806564870882105,0.7083222431517026,0.01296596768753284,0.33278621426338767,0.07284811698713867
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,0.01,492,3,0.8732567000243069,0.0670200535685288,0.0,0.0,0.803745815081447,0.029256615389027393,0.0,0.0,0.5709554416389505,0.02816186675015474,0.40086904539872337,0.06485728388436039,0.4456832480873166,0.046691260467182624,0.0,0.0,0.5161322311130401,0.020893687139245977,0.7143257375959773,0.0158038386784662,0.35924026918296653,0.07753855193751315
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,0.05,2463,3,0.9445514661787917,0.00201396279921676,0.0,0.0,0.8190729562980062,0.02148920430000253,0.0,0.0,0.6434601528295976,0.003305892319286126,0.48331530687065855,0.02305143622585753,0.4682722838110443,0.015740329965816292,0.0,0.0,0.5970023103296841,0.021022258452596202,0.7395112487290803,0.004308832901909004,0.39499373535552884,0.08656632565375519
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,0.1,4927,3,0.9511940670385607,0.0012138479143029561,0.0,0.0,0.8234971676229316,0.00959398247285148,0.0,0.0,0.6424786958215405,0.010173187665336652,0.4925148518643783,0.007981869357711129,0.5012724160975427,0.006953466158481311,0.0,0.0,0.6055393956429211,0.018721207601839495,0.7413324650295162,0.0018919190300000282,0.4399862987315248,0.03392874994768105
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,0.25,12320,3,0.9576128633894402,0.0006093981786716615,0.0,0.0,0.8204529498475694,0.005838141303743239,0.0,0.0,0.6381193768636041,0.01210780835236545,0.5119659351699392,0.011015665107442547,0.4951455312114536,0.007786551205384466,0.0,0.0,0.6102139983648219,0.003633374347693953,0.7406789320570667,0.00501419316012077,0.434665628721453,0.01934863367740638
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,0.5,24639,3,0.9584521133812539,0.001984404774747041,0.0,0.0,0.8306993803513407,0.0034747015080327814,0.0,0.0,0.652076459738161,0.014994245813754527,0.5165197576784673,0.017690646208534156,0.5149646434129602,0.01138120982818837,0.0,0.0,0.6151678297533518,0.00984842466706349,0.7430546052671755,0.0056175756576637426,0.4508824859609053,0.013559753645659107
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,0.7,34497,3,0.9604300737022186,0.0015934296418975249,0.0,0.0,0.837527935056955,0.006294627727637051,0.0,0.0,0.6485574097296181,0.005002648310372514,0.5283482590968785,0.009429151314598866,0.5146518864618751,0.009091203234936033,0.0,0.0,0.6172347952768306,0.0038321452666129525,0.7444106653707904,0.004745762784159257,0.4671631898723571,0.015691347947212372
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,1.0,49281,3,0.9596245278707904,0.0007166664815132991,0.0,0.0,0.8398089709191986,0.009040162466480922,0.0,0.0,0.64148504803048,0.0036563799901249533,0.5204772351637993,0.007019580043955182,0.5066739247882976,0.009530979656468356,0.0,0.0,0.617937302397665,0.0034374979517016024,0.7435988368480161,0.004812497128228295,0.48191139661997157,0.022797529760598376
dinov3_vitb16_lvd_mhsa,DINOv3 ViT-B/16 MHSA,1.0,49281,3,0.9582114342911924,0.0005048844809290087,0.011594202898550725,0.0200817484935522,0.8416560440747438,0.0019320195434656944,0.0,0.0,0.6256542326120218,0.01688824304319023,0.5055034905236525,0.02375348428677102,0.49695426394618636,0.0014170735718658613,0.0,0.0,0.6122031378421317,0.01649071427505152,0.7405856553360971,0.008369108874684264,0.4777738358772739,0.0285438188606141
dinov3_vitl16_lvd_lora,DINOv3 ViT-L/16 LoRA r=8,1.0,49281,3,0.9595995300210288,0.004531926779312878,0.0,0.0,0.8442042210044326,0.0032946017653420587,0.0,0.0,0.6393763906767672,0.004695865053455157,0.5290078109479429,0.0036270132890621008,0.5072977679761713,0.005605877864418205,0.0,0.0,0.621805411620477,0.010368484030075554,0.7532308423847592,0.000914392571206601,0.47140311424594544,0.02275712752292123
resnet50_fulft_sota,ResNet-50 IN-FT,1.0,49281,3,0.9328971507896066,0.002370907875253923,0.0,0.0,0.8132696885199912,0.002441666501877587,0.0,0.0,0.6290543417233115,0.006765214842707526,0.4748620573581948,0.006098054477245142,0.4934164891203119,0.013129391554132511,0.0,0.0,0.5829205179986542,0.0075854453930900454,0.728914003026302,0.003071173347939048,0.37500574568884204,0.012845784907841476
simdinov2_vitb16_full,SimDINOv2 ViT-B/16 Full,1.0,49281,3,0.952046170366196,0.006553898550948148,0.0,0.0,0.847159269054165,0.004299469556096288,0.0,0.0,0.6264064150952618,0.008729527139616626,0.5116560899804083,0.005190762913550656,0.4989237632444121,0.029736606178181232,0.0,0.0,0.5891939785660986,0.016830201000117916,0.7455683275034114,0.010281166470754503,0.4888362340507555,0.007107530737530586
simdinov2_vitb16_lora,SimDINOv2 ViT-B/16 LoRA r=8,1.0,49281,3,0.9539320581139971,0.0017258604645255828,0.0,0.0,0.8427041564608565,0.0030688883447512784,0.0,0.0,0.6377131457999189,0.006560226304284164,0.5146493295475992,0.004139994033194842,0.4976760560330696,0.010506050439504424,0.0,0.0,0.5997930877582447,0.004512545020464836,0.739656183856689,0.004842850927053648,0.47282788805664006,0.009461996931865363
