model,display,id,ALDE,ARCA,BIRC,DRYI,LICH,MOSS,PETF,RUBC,SEDG,TUSS,WILL,f1_macro_pres
"Contexte_R2_(distil._B,_fusion)","Contexte R2 (distil. B, fusion)",ctxdistill_dB_tL,0.9616,0.0000,0.8672,0.0000,0.6630,0.5999,0.5721,0.0000,0.6938,0.7687,0.4605,0.5079
"Contexte_R1_(distil._A,_tuile)","Contexte R1 (distil. A, tuile)",ctxdistill_dA_tL,0.9600,0.0000,0.8432,0.0000,0.6548,0.5287,0.5189,0.0000,0.6339,0.7490,0.4685,0.4870
"Contexte_R3_(distil._A,_EMA)","Contexte R3 (distil. A, EMA)",ctxdistill_dA_tEMA,0.9587,0.0000,0.8389,0.0000,0.6531,0.5127,0.5100,0.0000,0.6299,0.7482,0.4665,0.4835
SimDINOv2_ViT-L/16_LoRA_r=8,SimDINOv2 ViT-L/16 LoRA r=8,simdinov2_vitl16_lora,0.9546,0.0117,0.8488,0.0000,0.6342,0.5283,0.5047,0.0000,0.6100,0.7542,0.4722,0.4835
DINOv3_ViT-B/16_LoRA_r=8,DINOv3 ViT-B/16 LoRA r=8,dinov3_vitb16_lvd_lora_r8,0.9596,0.0000,0.8398,0.0000,0.6419,0.5206,0.5064,0.0000,0.6179,0.7434,0.4822,0.4829
DINOv3_ViT-L/16_LoRA_r=8,DINOv3 ViT-L/16 LoRA r=8,dinov3_vitl16_lvd_lora,0.9581,0.0000,0.8424,0.0000,0.6356,0.5276,0.5044,0.0000,0.6187,0.7471,0.4636,0.4816
SimDINOv2-B_LoRA_r8_(Q+K+V),SimDINOv2-B LoRA r8 (Q+K+V),simdinov2_vitb16_lora_r8_qkv,0.9558,0.0000,0.8418,0.0000,0.6391,0.5175,0.5151,0.0000,0.6032,0.7423,0.4789,0.4813
DINOv3_ViT-H+/16_LVD,DINOv3 ViT-H+/16 LVD,dinov3_vith16plus_lvd,0.9584,0.0000,0.8368,0.0000,0.6355,0.5197,0.5065,0.0000,0.6009,0.7421,0.4852,0.4805
SimDINOv2-B_LoRA_r8_(blocs_9-11),SimDINOv2-B LoRA r8 (blocs 9-11),simdinov2_vitb16_lora_r8_b911,0.9567,0.0000,0.8349,0.0000,0.6459,0.5111,0.5148,0.0000,0.6103,0.7363,0.4746,0.4804
SimDINOv2-B_LoRA_r8_(blocs_6-11),SimDINOv2-B LoRA r8 (blocs 6-11),simdinov2_vitb16_lora_r8_b611,0.9555,0.0000,0.8423,0.0000,0.6360,0.5118,0.5033,0.0000,0.6073,0.7431,0.4833,0.4802
DINOv3_ViT-B/16_MHSA,DINOv3 ViT-B/16 MHSA,dinov3_vitb16_lvd_mhsa,0.9588,0.0230,0.8415,0.0000,0.6257,0.5051,0.4957,0.0000,0.6070,0.7351,0.4881,0.4800
SimDINOv2-B_LoRA_r2,SimDINOv2-B LoRA r2,simdinov2_vitb16_lora_r2,0.9550,0.0000,0.8441,0.0000,0.6338,0.5128,0.5038,0.0000,0.6047,0.7430,0.4750,0.4793
DINOv3_ViT-L/16_LVD,DINOv3 ViT-L/16 LVD,dinov3_vitl16_lvd,0.9514,0.0000,0.8477,0.0000,0.6398,0.5233,0.5177,0.0000,0.5993,0.7216,0.4696,0.4791
DINOv3_ViT-B/16_Full,DINOv3 ViT-B/16 Full,dinov3_vitb16_lvd_full,0.9544,0.0555,0.8281,0.0000,0.6311,0.5038,0.4991,0.0000,0.6067,0.7410,0.4459,0.4787
SimDINOv2-B_LoRA_r4,SimDINOv2-B LoRA r4,simdinov2_vitb16_lora_r4,0.9554,0.0000,0.8413,0.0000,0.6345,0.5121,0.5071,0.0000,0.6035,0.7400,0.4698,0.4785
SimDINOv2-B_NormTuning,SimDINOv2-B NormTuning,simdinov2_vitb16_norm_tuning,0.9555,0.0000,0.8369,0.0000,0.6378,0.5017,0.5121,0.0000,0.6013,0.7350,0.4808,0.4783
SimDINOv2_ViT-B/16_Full,SimDINOv2 ViT-B/16 Full,simdinov2_vitb16_full,0.9520,0.0000,0.8472,0.0000,0.6264,0.5117,0.4989,0.0000,0.5892,0.7456,0.4888,0.4782
SimDINOv2_ViT-B/16_LoRA_r=8,SimDINOv2 ViT-B/16 LoRA r=8,simdinov2_vitb16_lora,0.9540,0.0000,0.8426,0.0000,0.6378,0.5146,0.4978,0.0000,0.5995,0.7396,0.4728,0.4781
DINOv3_ViT-S/16_LoRA_r=8,DINOv3 ViT-S/16 LoRA r=8,dinov3_vits16_lvd_lora_r8,0.9546,0.0000,0.8165,0.0000,0.6485,0.5258,0.5118,0.0000,0.6187,0.7455,0.4308,0.4775
SimDINOv2-B_LoRA_r8_(blocs_0-5),SimDINOv2-B LoRA r8 (blocs 0-5),simdinov2_vitb16_lora_r8_b05,0.9519,0.0000,0.8403,0.0000,0.6378,0.5097,0.5169,0.0000,0.6020,0.7377,0.4507,0.4770
