model,display,type,init,pipeline,fraction,n_train_tiles,n_seeds,f1_pres_mean,f1_pres_std,f1_pres_min,f1_pres_max,f1_8cls_mean,f1_8cls_std,accuracy_mean,accuracy_std,best_epoch_mean,best_epoch_min,best_epoch_max,best_C_mode
dinov3_vitb16_lvd_full,DINOv3 ViT-B/16 Full,ft_fresh,DINOv3-B,ft_ssl,1.0,49281,3,0.4788588265221261,0.0025535191821314776,0.4766314136836163,0.4816456839353575,0.6535788043122798,0.0035682172139081,0.7110277683070046,0.004827196517242238,11.0,11,11,0.001
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.005,247,3,0.407719508283409,0.010286380192899215,0.39589002705767645,0.4145600717305149,0.5606143238896873,0.014143772765236434,0.6489942038868053,0.01097951437845121,47.666666666666664,46,49,0.01
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.01,492,3,0.4258371352838844,0.012907282452549464,0.4135151914957257,0.43925932031840964,0.585526061015341,0.017747513372255445,0.6566087055347198,0.013957015186581054,49.0,48,50,0.01
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.05,2463,3,0.46274358730930826,0.008451792713990776,0.452984714071854,0.46770109397184695,0.636272432550299,0.011621214981737292,0.6973898549077547,0.009285628259560648,45.666666666666664,44,49,0.001
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.1,4927,3,0.472528668895356,0.00519692077667495,0.46675968310209615,0.47684392653397195,0.6497269197311145,0.007145766067928104,0.7043603439784825,0.003435110930326151,23.0,17,33,0.001
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.25,12320,3,0.47353229232957705,0.002072498961584055,0.4712090671353258,0.4751911176260217,0.6511069019531684,0.0028496860721780545,0.7055536614009167,0.003527859836623257,19.666666666666668,12,26,0.001
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.5,24639,3,0.48016520686760145,0.004247924342397191,0.4752730194477568,0.4829190958107,0.660227159442952,0.005840895970796135,0.7136227601621398,0.004837220007872075,20.0,7,27,0.001
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.7,34497,3,0.4834840195061385,0.0016576263541513308,0.48186317467961964,0.4851761287494217,0.6647905268209405,0.002279236236958083,0.7178846080994052,0.004372667368239856,18.333333333333332,14,22,0.001
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,1.0,49281,3,0.48286520387620163,0.003632222490193869,0.478899891423471,0.48603118722658406,0.6639396553297773,0.004994305924016632,0.7170701216047278,0.005882653955944231,14.666666666666666,13,18,0.001
dinov3_vitb16_lvd_mhsa,DINOv3 ViT-B/16 MHSA,ft_fresh,DINOv3-B,ft_ssl,1.0,49281,3,0.47910329976380456,0.0025365299852440565,0.476832333874005,0.4818406627952175,0.6573177618129126,0.0046101727408966045,0.714437246656817,0.006627890409738992,16.666666666666668,13,19,0.0001
