model,display,type,init,pipeline,fraction,n_train_tiles,seed,f1_pres,f1_pres_val,f1_8cls,accuracy,best_epoch,best_C,probe,run_dir,f1_ALDE,f1_ARCA,f1_BIRC,f1_DRYI,f1_LICH,f1_MOSS,f1_PETF,f1_RUBC,f1_SEDG,f1_TUSS,f1_WILL
dinov3_vitb16_lvd_full,DINOv3 ViT-B/16 Full,ft_fresh,DINOv3-B,ft_ssl,1.0,49281,0,0.4766314136836163,0.4905752239306072,0.6510578489873862,0.7071826343902716,11,0.001,interne_run,ft_ssl_results/dinov3_vitb16_lvd_full_runs/frac100_seed0,0.957613814756672,0.034482758620689655,0.8258955373223934,0.0,0.632895158704713,0.5,0.5044150110375276,0.0,0.6066208082545141,0.7391239348183585,0.44189852700491
dinov3_vitb16_lvd_full,DINOv3 ViT-B/16 Full,ft_fresh,DINOv3-B,ft_ssl,1.0,49281,1,0.4816456839353575,0.4824314115787294,0.6520169137717722,0.7094556199568133,11,0.001,interne_run,ft_ssl_results/dinov3_vitb16_lvd_full_runs/frac100_seed1,0.9525547445255474,0.08196721311475409,0.8289238114183409,0.0,0.6347574686797302,0.5061728395061729,0.48654708520179374,0.0,0.6072362685265911,0.7423723768417919,0.45757071547420963
dinov3_vitb16_lvd_full,DINOv3 ViT-B/16 Full,ft_fresh,DINOv3-B,ft_ssl,1.0,49281,2,0.47829938194740435,0.4907683997650621,0.657661650177681,0.7164450505739288,11,0.0001,interne_run,ft_ssl_results/dinov3_vitb16_lvd_full_runs/frac100_seed2,0.9574745630054787,0.0,0.8346472609662422,0.0,0.6337579617834395,0.5151262836525118,0.5176600441501104,0.0,0.6199913830245584,0.753810082063306,0.4288256227758007
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.005,247,0,0.39589002705767645,0.3692321278203177,0.5443487872043051,0.636890555744971,46,0.01,interne_run,results/datacurve_lora/runs/frac000_seed0,0.8045454545454546,0.0,0.7733229024056327,0.0,0.531700288184438,0.37561241154055525,0.3789599521817095,0.0,0.5260557053009883,0.7149255887877475,0.249667994687915
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.005,247,1,0.4145600717305149,0.39437666798090487,0.570020098629458,0.658313444709626,48,0.01,interne_run,results/datacurve_lora/runs/frac000_seed1,0.9222343921139102,0.0,0.8115676763979134,0.0,0.5702938840349484,0.3326432022084196,0.3603988603988604,0.0,0.5064904413500118,0.6933838531040513,0.3631484794275492
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.005,247,2,0.4127084260620358,0.4089682449374879,0.5674740858352992,0.6517786112058188,49,0.01,interne_run,results/datacurve_lora/runs/frac000_seed2,0.86279296875,0.0,0.8025440313111546,0.0,0.5485751295336787,0.3250814332247557,0.3835125448028674,0.0,0.5150871228219295,0.7166572875633089,0.3855421686746988
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.01,492,0,0.42473689403751785,0.4181587654338374,0.5840132293015872,0.6581429707921355,50,0.01,interne_run,results/datacurve_lora/runs/frac001_seed0,0.8642092746730083,0.0,0.7939476725858989,0.0,0.5397412199630314,0.44883720930232557,0.47111472742066723,0.0,0.5380645161290323,0.7217528282972935,0.29443838604143946
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.01,492,1,0.43925932031840964,0.44608827121833694,0.6039815654378131,0.6697351971814979,48,0.01,interne_run,results/datacurve_lora/runs/frac001_seed1,0.944340878828229,0.0,0.8366439371479395,0.0,0.5944584382871536,0.32707774798927614,0.47413793103448276,0.0,0.5138711054204012,0.6961764705882353,0.4451460142067877
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.01,492,2,0.4135151914957257,0.42561933725448925,0.5685833883066228,0.6419479486305262,49,0.01,interne_run,results/datacurve_lora/runs/frac001_seed2,0.811219946571683,0.0,0.7806458355105027,0.0,0.5786666666666667,0.4266921789045683,0.3917970858067998,0.0,0.49646107178968657,0.7250479139024031,0.3381364073006724
dinov3_vitb16_lvd_lora_r8,DINOv3 ViT-B/16 LoRA r=8,ft_fresh,DINOv3-B,dinov3b_lora8,0.05,2463,0,0.452984714071854,0.46992843304639853,0.6228539818487993,0.6877486077963405,49,0.001,interne_run,results/datacurve_lora/runs/frac005_seed0,0.9436763952892985,0.0,0.801906779661017,0.0,0.6463042150274894,0.5098913346336027,0.47480708125283705,0.0,0.5727699530516432,0.7379008746355685,0.29557522123893804
