tier,family,metric,label,rho,p,p_bh_global,p_bh_family,pairs_ok,pairs_total,pair_acc,pred_best,pred_best_correct
6,séparabilité,fisher_ratio,Ratio de Fisher,0.40583972495671394,0.4246625075613642,0.6460759764911262,0.4614828403508045,9,14,0.6428571428571429,ctxdistill_dA_tEMA,False
6,séparabilité,silhouette,Silhouette,0.3768511731740915,0.4614828403508045,0.6460759764911262,0.4614828403508045,9,14,0.6428571428571429,dinov3_vitb16_lvd_lora_r8,False
6,séparabilité,chi,Calinski-Harabasz,0.6667366910003157,0.14808979944035283,0.2961795988807057,0.29617959888070566,11,14,0.7857142857142857,ctxdistill_dA_tEMA,False
6,séparabilité,nc1_canonical,NC1 (intra/inter),-0.6667366910003157,0.14808979944035283,0.2961795988807057,0.29617959888070566,11,14,0.7857142857142857,ctxdistill_dA_tEMA,False
6,spectrale,eff_rank_sigma2,Rang effectif (σ²),-0.46381682852195877,0.3541642984362303,0.6197875222634031,0.4722190645816404,5,14,0.35714285714285715,simdinov2_vitl16_lora,False
6,spectrale,stable_rank,Stable rank,-0.8406680016960503,0.0360575728451592,0.2961795988807057,0.1442302913806368,2,14,0.14285714285714285,simdinov2_vitl16_lora,False
6,spectrale,participation_ratio,Participation ratio,-0.6667366910003157,0.14808979944035283,0.2961795988807057,0.29617959888070566,4,14,0.2857142857142857,simdinov2_vitl16_lora,False
6,spectrale,rankme_sigma_raw,RankMe (σ),0.028988551782622423,0.9565293523898406,0.9565293523898406,0.9565293523898406,7,14,0.5,ctxdistill_dB_tL,True
6,voisinage,knn_purity,Pureté k-NN,0.6957252427829382,0.12478933744028692,0.2961795988807057,0.1663857832537159,11,14,0.7857142857142857,ctxdistill_dB_tL,True
6,voisinage,aniso_cosine,Anisotropie,0.057977103565244846,0.9131317851623264,0.9565293523898406,0.9131317851623264,6,14,0.42857142857142855,simdinov2_vitl16_lora,False
6,voisinage,intrinsic_dim_twonn,Dim. intrinsèque,-0.753702346348183,0.08352328137325983,0.2961795988807057,0.1663857832537159,12,14,0.8571428571428571,ctxdistill_dB_tL,True
6,voisinage,dbi,Davies-Bouldin,-0.753702346348183,0.08352328137325983,0.2961795988807057,0.1663857832537159,11,14,0.7857142857142857,ctxdistill_dA_tEMA,False
6,transférabilité,logme_train,LogME (train),-0.057977103565244846,0.9131317851623264,0.9565293523898406,0.9131317851623264,6,14,0.42857142857142855,simdinov2_vitl16_lora,False
6,transférabilité,logme_test,LogME (test),0.08696565534786728,0.8698803787001028,0.9565293523898406,0.9131317851623264,7,14,0.5,simdinov2_vitl16_lora,False
8,séparabilité,fisher_ratio,Ratio de Fisher,0.5149792926227014,0.19154931341586579,0.5363380775644242,0.25539908455448773,17,27,0.6296296296296297,ctxdistill_dA_tEMA,False
8,séparabilité,silhouette,Silhouette,0.3353353533357125,0.4167915909642739,0.6483424748333149,0.4167915909642739,16,27,0.5925925925925926,dinov3_vitb16_lvd_lora_r8,False
8,séparabilité,chi,Calinski-Harabasz,0.6227656561948945,0.09910080782353477,0.34685282738237166,0.19820161564706953,19,27,0.7037037037037037,ctxdistill_dA_tEMA,False
8,séparabilité,nc1_canonical,NC1 (intra/inter),-0.6227656561948945,0.09910080782353477,0.34685282738237166,0.19820161564706953,19,27,0.7037037037037037,ctxdistill_dA_tEMA,False
