group,head,f1_mean,f1_std,delta_vs_lin_adamw,best
"Contexte R1 (A, tuile)",lin_lbfgs,0.487,0.0,,"[0.001, 0.001, 0.001]"
"Contexte R1 (A, tuile)",lin_adamw,0.4775,0.0014,,"(0, 0.0, 0.0)"
"Contexte R1 (A, tuile)",mlp2,0.4806,0.0061,0.003,"(512, 0.5, 0.0001)"
"Contexte R2 (B, fusion)",lin_lbfgs,0.5079,0.0,,"[0.0001, 0.0001, 0.0001]"
"Contexte R2 (B, fusion)",lin_adamw,0.4949,0.0034,,"(0, 0.0, 0.0)"
"Contexte R2 (B, fusion)",mlp2,0.4991,0.0037,0.0043,"(256, 0.5, 0.0001)"
"Contexte R3 (A, EMA)",lin_lbfgs,0.4836,0.0,,"[0.001, 0.001, 0.001]"
"Contexte R3 (A, EMA)",lin_adamw,0.4732,0.0068,,"(0, 0.0, 0.0)"
"Contexte R3 (A, EMA)",mlp2,0.4724,0.0017,-0.0008,"(512, 0.5, 0.0001)"
DINOv3-B Full,lin_lbfgs,0.4789,0.0,,"[0.001, 0.001, 0.0001]"
DINOv3-B Full,lin_adamw,0.4707,0.0035,,"(0, 0.0, 0.0)"
DINOv3-B Full,mlp2,0.4728,0.0015,0.0022,"(256, 0.5, 0.0001)"
DINOv3-B LoRA r=8,lin_lbfgs,0.4829,0.0,,"[0.001, 0.001, 0.001]"
DINOv3-B LoRA r=8,lin_adamw,0.4779,0.0032,,"(0, 0.0, 0.0)"
DINOv3-B LoRA r=8,mlp2,0.4779,0.0022,-0.0,"(256, 0.5, 0.0)"
DINOv3-B MHSA,lin_lbfgs,0.4791,0.0,,"[0.0001, 0.0001, 0.001]"
DINOv3-B MHSA,lin_adamw,0.4757,0.0015,,"(0, 0.0, 0.0)"
DINOv3-B MHSA,mlp2,0.4757,0.0033,-0.0,"(256, 0.5, 0.0001)"
DINOv3-L LoRA r=8,lin_lbfgs,0.4842,0.0,,"[0.0001, 0.0001, 0.0001]"
DINOv3-L LoRA r=8,lin_adamw,0.4727,0.0034,,"(0, 0.0, 0.0)"
DINOv3-L LoRA r=8,mlp2,0.4734,0.0036,0.0006,"(512, 0.2, 0.0)"
DINOv3 ViT-B16,lin_lbfgs,0.4713,0.0,,[0.001]
DINOv3 ViT-B16,lin_adamw,0.4591,0.0,,"(0, 0.0, 0.0)"
DINOv3 ViT-B16,mlp2,0.4693,0.0,0.0102,"(256, 0.5, 0.0)"
DINOv3 ViT-H+16,lin_lbfgs,0.4805,0.0,,[0.001]
DINOv3 ViT-H+16,lin_adamw,0.4691,0.0,,"(0, 0.0, 0.0)"
DINOv3 ViT-H+16,mlp2,0.4717,0.0,0.0025,"(256, 0.5, 0.0001)"
DINOv3 ViT-L16,lin_lbfgs,0.4791,0.0,,[0.001]
DINOv3 ViT-L16,lin_adamw,0.4653,0.0,,"(0, 0.0, 0.0)"
DINOv3 ViT-L16,mlp2,0.4663,0.0,0.001,"(256, 0.5, 0.0001)"
DINOv3 ViT-S/16,lin_lbfgs,0.469,0.0,,[0.01]
DINOv3 ViT-S/16,lin_adamw,0.4663,0.0,,"(0, 0.0, 0.0)"
DINOv3 ViT-S/16,mlp2,0.4664,0.0,0.0001,"(256, 0.5, 0.0)"
DINOv3 ViT-S/16 LoRA r=8,lin_lbfgs,0.4774,0.0,,"[0.001, 0.001, 0.001]"
DINOv3 ViT-S/16 LoRA r=8,lin_adamw,0.4692,0.0039,,"(0, 0.0, 0.0)"
DINOv3 ViT-S/16 LoRA r=8,mlp2,0.4668,0.001,-0.0025,"(512, 0.5, 0.0001)"
SimDINOv2-B Full,lin_lbfgs,0.4782,0.0,,"[0.0001, 0.0001, 0.0001]"
SimDINOv2-B Full,lin_adamw,0.4658,0.0037,,"(0, 0.0, 0.0)"
SimDINOv2-B Full,mlp2,0.4722,0.0033,0.0063,"(256, 0.5, 0.0)"
SimDINOv2-B LoRA r16,lin_lbfgs,0.4769,0.0,,"[0.001, 0.001, 0.001]"
SimDINOv2-B LoRA r16,lin_adamw,0.4674,0.003,,"(0, 0.0, 0.0)"
SimDINOv2-B LoRA r16,mlp2,0.4601,0.0063,-0.0073,"(512, 0.5, 0.0001)"
SimDINOv2-B LoRA r16 (rsLoRA),lin_lbfgs,0.4736,0.0,,"[0.001, 0.001, 0.001]"
SimDINOv2-B LoRA r16 (rsLoRA),lin_adamw,0.4664,0.0021,,"(0, 0.0, 0.0)"
SimDINOv2-B LoRA r16 (rsLoRA),mlp2,0.4615,0.004,-0.0049,"(512, 0.5, 0.0)"
SimDINOv2-B LoRA r16 (scaling 2),lin_lbfgs,0.475,0.0,,"[0.001, 0.001, 0.001]"
SimDINOv2-B LoRA r16 (scaling 2),lin_adamw,0.4673,0.0064,,"(0, 0.0, 0.0)"
SimDINOv2-B LoRA r16 (scaling 2),mlp2,0.4631,0.007,-0.0042,"(256, 0.5, 0.0001)"
SimDINOv2-B LoRA r2,lin_lbfgs,0.4794,0.0,,"[0.001, 0.001, 0.001]"
SimDINOv2-B LoRA r2,lin_adamw,0.4688,0.0057,,"(0, 0.0, 0.0)"
