scheme,metric,knn_rho,knn_p,lp_rho,lp_p,delta_rho,knn_r,lp_r
11cls,silhouette_score,0.9090909090909092,4.191044653034231e-05,0.8251748251748254,0.0009513628555555001,-0.08391608391608374,0.7361139752057974,0.8638250100012218
11cls,davies_bouldin_index,-0.5524475524475525,0.06251148327961523,-0.34965034965034975,0.26523878689278996,0.20279720279720276,-0.5078813566570148,-0.6617688602942925
11cls,calinski_harabasz_index,0.2657342657342658,0.4038330883147116,0.23076923076923078,0.470531995381542,-0.034965034965035,0.5415255284156698,0.544629816666925
11cls,nc1,-0.25874125874125875,0.41677476889913817,0.1258741258741259,0.696683109395766,0.38461538461538464,-0.28336970668011247,0.18176258013866156
11cls,nc2_deviation_etf,-0.9160839160839163,2.8428045348547132e-05,-0.49650349650349657,0.10060263183225476,0.4195804195804197,-0.8925339119584718,-0.4447068508336222
11cls,dim_mle_mean,-0.055944055944055944,0.8628980736949713,-0.20979020979020982,0.512840943181826,-0.15384615384615388,0.19960976471780267,0.0270578305199974
11cls,dim_mle_median,-0.027972027972027972,0.9312343512018807,-0.16083916083916086,0.6175234895401425,-0.1328671328671329,0.16736277595719226,-0.038066779017146654
11cls,global_effective_rank,0.1328671328671329,0.6805975082860817,-0.027972027972027972,0.9312343512018807,-0.16083916083916086,-0.22324622095326815,-0.5629536184292471
11cls,global_stable_rank,0.21678321678321683,0.49855598552418845,0.14685314685314685,0.6487957097846665,-0.06993006993006998,-0.16591140137731436,-0.46989839917236237
11cls,global_participation_ratio,0.14685314685314685,0.6487957097846665,0.06993006993006995,0.8290236405313092,-0.0769230769230769,-0.23329287747463678,-0.5501917935570647
11cls,global_alpha,-0.5104895104895105,0.08991373630263919,-0.04895104895104895,0.8799185788786748,0.46153846153846156,-0.17858539298295265,0.282287803410841
8cls,silhouette_score,0.8881118881118882,0.00011413359814618021,0.6783216783216784,0.015317329053281715,-0.2097902097902098,0.7909860047380702,0.7794084956917463
8cls,davies_bouldin_index,-0.7972027972027973,0.0019003677255282697,-0.7412587412587414,0.005801150474478245,0.05594405594405594,-0.6712820405119885,-0.7581893550835206
8cls,calinski_harabasz_index,0.31468531468531474,0.3191387855033045,0.31468531468531474,0.3191387855033045,0.0,0.5848604691652253,0.5563883653815692
8cls,nc1,-0.2377622377622378,0.45680085263992326,0.027972027972027972,0.9312343512018807,0.2657342657342658,-0.2694699787341979,0.15525948437713744
8cls,nc2_deviation_etf,-0.9090909090909092,4.191044653034231e-05,-0.5244755244755246,0.08001937592027474,0.3846153846153846,-0.8720028177549218,-0.46383486139122077
8cls,dim_mle_mean,-0.04895104895104895,0.8799185788786748,-0.18881118881118883,0.5567370561768314,-0.13986013986013987,0.07980550333332997,0.006147567286370344
8cls,dim_mle_median,-0.034965034965034975,0.9140933424107599,-0.16083916083916086,0.6175234895401425,-0.1258741258741259,0.01833008799032127,-0.06966461957049466
8cls,global_effective_rank,0.08391608391608392,0.7954145018538978,-0.14685314685314685,0.6487957097846665,-0.23076923076923078,-0.27357636936206503,-0.5555311430617695
8cls,global_stable_rank,0.10489510489510491,0.7456094809807079,-0.013986013986013986,0.9655902689187796,-0.1188811188811189,-0.21975856766285756,-0.46377553315438047
8cls,global_participation_ratio,0.0979020979020979,0.7621216559962992,-0.034965034965034975,0.9140933424107599,-0.13286713286713286,-0.2851809657142432,-0.5429604952038044
8cls,global_alpha,-0.4545454545454546,0.13765791634772948,0.06993006993006995,0.8290236405313092,0.5244755244755246,-0.13427835282228223,0.2812727196540482
