,resnet50_imagenet,vitb16_imagenet,dinov3_vitb16_lvd,dinov3_vitl16_sat,dinov3_vitl16_lvd,simdinov2_vitb16,simdinov2_vitl16,satmae_vitl16,scalemae_vitl16,resnet50_arctic,vitb16_arctic,vitb16_fulft_arctic
resnet50_imagenet,1.0000,0.9954,0.9952,0.9952,0.9952,0.9952,0.9954,0.9930,0.9953,0.9952,0.9951,0.9952
vitb16_imagenet,0.0049,1.0000,0.9952,0.9952,0.9952,0.9951,0.9956,0.0000,0.0002,0.9952,0.9950,0.9952
dinov3_vitb16_lvd,0.0050,0.0056,1.0000,0.0000,0.9963,1.0000,0.9991,0.0000,0.0000,0.0000,0.9961,0.9960
dinov3_vitl16_sat,0.0051,0.0064,1.0000,1.0000,0.9958,0.9960,0.9966,0.0000,0.0000,0.6905,0.9956,0.9957
dinov3_vitl16_lvd,0.0050,0.0054,0.0061,0.0054,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
simdinov2_vitb16,0.0052,0.0062,0.4076,0.0070,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.9992,0.9976
simdinov2_vitl16,0.0050,0.0056,0.0076,0.0056,1.0000,0.0066,1.0000,0.0000,0.0000,0.0000,0.3576,0.9982
satmae_vitl16,0.0185,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9956,0.9955,0.9953,0.9954
scalemae_vitl16,0.0053,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0050,1.0000,0.9963,0.9956,0.9956
resnet50_arctic,0.0051,0.0065,1.0000,1.0000,1.0000,1.0000,1.0000,0.0049,0.0059,1.0000,0.9957,0.9958
vitb16_arctic,0.0050,0.0056,0.0081,0.0058,1.0000,0.0075,1.0000,0.0049,0.0054,0.0058,1.0000,0.9979
vitb16_fulft_arctic,0.0051,0.0056,0.0067,0.0056,0.5831,0.0062,0.0122,0.0049,0.0054,0.0057,0.0069,1.0000
