model,accuracy,f1_macro_all_stored,f1_macro_pres_stored,f1_macro_pres_recomputed,f1_macro_pres_abs_diff,f1_weighted_stored,f1_weighted_recomputed,f1_weighted_abs_diff
resnet50_imagenet,0.630015,0.374071,0.408077,0.408077,0.000000e+00,0.624517,0.624517,0.000000e+00
vitb16_imagenet,0.675986,0.412489,0.449988,0.449988,0.000000e+00,0.667879,0.667879,0.000000e+00
dinov3_vitb16_lvd,0.702921,0.432211,0.471502,0.471502,0.000000e+00,0.694526,0.694526,0.000000e+00
dinov3_vitl16_sat,0.693147,0.423482,0.461981,0.461981,0.000000e+00,0.686823,0.686823,0.000000e+00
dinov3_vitl16_lvd,0.712240,0.438978,0.478885,0.478885,0.000000e+00,0.704146,0.704146,0.000000e+00
simdinov2_vitb16,0.701898,0.432342,0.471646,0.471646,0.000000e+00,0.691552,0.691552,0.000000e+00
simdinov2_vitl16,0.709001,0.436410,0.476084,0.476084,0.000000e+00,0.698618,0.698618,0.000000e+00
satmae_vitl16,0.631833,0.375194,0.409303,0.409303,0.000000e+00,0.628338,0.628338,1.110223e-16
scalemae_vitl16,0.678373,0.411094,0.448466,0.448466,0.000000e+00,0.672454,0.672454,1.110223e-16
resnet50_arctic,0.696613,0.423379,0.461868,0.461868,0.000000e+00,0.688100,0.688100,0.000000e+00
vitb16_arctic,0.710081,0.436113,0.475760,0.475760,0.000000e+00,0.700222,0.700222,0.000000e+00
vitb16_fulft_arctic,0.711899,0.439189,0.479116,0.479116,0.000000e+00,0.701808,0.701808,0.000000e+00
