model,dim,n_train,logme,logme_time_s,f1_macro_pres_test
resnet50_imagenet,2048,49433,0.5155822893579941,10.26,0.4080771534659235
vitb16_imagenet,768,49433,0.5362607447733779,0.56,0.44998821147275353
dinov3_vitb16_lvd,768,49433,0.5478512508057307,0.54,0.47150246507911503
dinov3_vitl16_sat,1024,49433,0.5593099930734022,1.0,0.4619806850944929
dinov3_vitl16_lvd,1024,49433,0.5549701175792192,0.97,0.47888501118017557
simdinov2_vitb16,768,49433,0.5753260397289083,0.53,0.47164615919203107
simdinov2_vitl16,1024,49433,0.5865789880677619,1.08,0.4760837892379522
satmae_vitl16,1024,49433,0.5353263765811253,1.01,0.4093025471183788
scalemae_vitl16,1024,49433,0.5467704020756752,1.09,0.44846574528346567
resnet50_arctic,2048,49433,0.6138598559332459,5.93,0.46186817923660545
vitb16_arctic,768,49433,0.6495169260412776,0.57,0.47575985910530977
vitb16_fulft_arctic,768,49433,0.6344011744073227,0.55,0.4791156222790256
