model,dim,n_test,subsample_n,rankme,rankme_normalized,alpha_req,nesum,anisotropy,f1_macro_pres_test
resnet50_imagenet,2048,17598,17598,420.3497619628906,0.2052489072084427,2.5207789606513606,2.7463598251342773,0.6531723141670227,0.4080771534659235
vitb16_imagenet,768,17598,17598,352.8688659667969,0.4594646692276001,1.6634360670219999,5.089718818664551,0.5975930690765381,0.44998821147275353
dinov3_vitb16_lvd,768,17598,17598,357.5727233886719,0.4655894835789998,1.670945604124711,5.8481035232543945,0.5872923135757446,0.47150246507911503
dinov3_vitl16_sat,1024,17598,17598,350.06341552734375,0.34185880422592163,1.655838362672798,4.418653964996338,0.8405900597572327,0.4619806850944929
dinov3_vitl16_lvd,1024,17598,17598,449.208740234375,0.43868041038513184,1.658990312199613,5.611725807189941,0.6104364395141602,0.47888501118017557
simdinov2_vitb16,768,17598,17598,442.78375244140625,0.5765413443247477,1.4615128956843437,6.2376861572265625,0.49350762367248535,0.47164615919203107
simdinov2_vitl16,1024,17598,17598,574.8961181640625,0.5614219903945923,1.5997922141638141,7.077688217163086,0.4174744188785553,0.4760837892379522
satmae_vitl16,1024,17598,17598,186.18260192871094,0.18181894719600677,1.7666216932316847,2.656200408935547,0.9200567603111267,0.4093025471183788
scalemae_vitl16,1024,17598,17598,79.5210952758789,0.0776573196053505,1.8347849906996616,2.537426710128784,0.9645828008651733,0.44846574528346567
resnet50_arctic,2048,17598,17598,1015.4577026367188,0.4958289563655853,1.4352036511277328,4.169004917144775,0.29949432611465454,0.46186817923660545
vitb16_arctic,768,17598,17598,346.80694580078125,0.4515715440114339,1.5832026870498503,3.7750091552734375,0.39419543743133545,0.47575985910530977
vitb16_fulft_arctic,768,17598,17598,348.3499755859375,0.45358069737752277,1.587574990271312,3.8627676963806152,0.49842369556427,0.4791156222790256
