tag,fraction_cible,fraction_reelle,seed,type,n_tiles,n_classes_8cls_presentes,classe_dominante,part_classe_dominante_pct,classes_8cls
frac001_seed0,0.01,0.01,0,bloc_spatial_contigu,494,3,BIRC,94.3,BIRC=466;PETF=12;WILL=16
frac001_seed1,0.01,0.01,1,bloc_spatial_contigu,494,6,TUSS,67.8,BIRC=58;LICH=26;MOSS=14;PETF=17;SEDG=44;TUSS=335
frac001_seed2,0.01,0.01,2,bloc_spatial_contigu,494,5,ALDE,53.0,ALDE=262;BIRC=204;MOSS=15;PETF=1;SEDG=12
frac005_seed0,0.05,0.05,0,bloc_spatial_contigu,2472,5,BIRC,91.8,BIRC=2151;LICH=81;PETF=31;SEDG=17;WILL=63
frac005_seed1,0.05,0.05,1,bloc_spatial_contigu,2472,6,WILL,41.4,ALDE=813;LICH=27;MOSS=3;PETF=72;SEDG=533;WILL=1024
frac005_seed2,0.05,0.05,2,bloc_spatial_contigu,2472,7,WILL,62.1,ALDE=368;BIRC=12;LICH=35;MOSS=57;PETF=101;SEDG=363;WILL=1536
frac010_seed0,0.1,0.1,0,bloc_spatial_contigu,4943,5,BIRC,93.0,BIRC=4445;LICH=164;PETF=72;SEDG=27;WILL=71
frac010_seed1,0.1,0.1,1,bloc_spatial_contigu,4943,8,MOSS,27.4,ALDE=860;BIRC=696;LICH=261;MOSS=1354;PETF=355;SEDG=297;TUSS=73;WILL=1044
frac010_seed2,0.1,0.1,2,bloc_spatial_contigu,4943,5,BIRC,95.1,BIRC=4675;LICH=140;PETF=71;SEDG=8;WILL=21
frac025_seed0,0.25,0.25,0,orthos_entieres,12358,8,BIRC,73.1,ALDE=13;BIRC=8840;LICH=305;MOSS=1503;PETF=266;SEDG=486;TUSS=530;WILL=142
frac025_seed1,0.25,0.254,1,orthos_entieres,12554,8,LICH,22.7,ALDE=1179;BIRC=1667;LICH=2753;MOSS=2258;PETF=222;SEDG=2010;TUSS=1695;WILL=326
frac025_seed2,0.25,0.2512,2,orthos_entieres,12419,8,WILL,21.9,ALDE=1302;BIRC=1332;LICH=1720;MOSS=2168;PETF=329;SEDG=1823;TUSS=696;WILL=2620
frac050_seed0,0.5,0.5,0,orthos_entieres,24716,8,BIRC,40.3,ALDE=1671;BIRC=9756;LICH=2298;MOSS=715;PETF=960;SEDG=2328;TUSS=6229;WILL=231
frac050_seed1,0.5,0.4956,1,orthos_entieres,24501,8,BIRC,40.3,ALDE=1591;BIRC=9695;LICH=1228;MOSS=1892;PETF=1256;SEDG=2059;TUSS=5177;WILL=1158
frac050_seed2,0.5,0.5078,2,orthos_entieres,25103,8,TUSS,25.2,ALDE=3213;BIRC=2847;LICH=3891;MOSS=3057;PETF=962;SEDG=3380;TUSS=6143;WILL=894
frac075_seed0,0.75,0.75,0,orthos_entieres,37075,8,TUSS,21.4,ALDE=5272;BIRC=4005;LICH=5029;MOSS=3586;PETF=1724;SEDG=4764;TUSS=7776;WILL=4232
frac075_seed1,0.75,0.7424,1,orthos_entieres,36699,8,BIRC,30.5,ALDE=4412;BIRC=10904;LICH=4654;MOSS=1687;PETF=1121;SEDG=3956;TUSS=5804;WILL=3256
frac075_seed2,0.75,0.744,2,orthos_entieres,36777,8,BIRC,28.8,ALDE=3910;BIRC=10416;LICH=1798;MOSS=4350;PETF=1583;SEDG=3513;TUSS=6586;WILL=3975
frac100_seed0,1.0,1.0,0,orthos_entieres,49433,8,BIRC,26.5,ALDE=5285;BIRC=12845;LICH=5334;MOSS=5089;PETF=1990;SEDG=5250;TUSS=8306;WILL=4374
frac100_seed1,1.0,1.0,1,orthos_entieres,49433,8,BIRC,26.5,ALDE=5285;BIRC=12845;LICH=5334;MOSS=5089;PETF=1990;SEDG=5250;TUSS=8306;WILL=4374
frac100_seed2,1.0,1.0,2,orthos_entieres,49433,8,BIRC,26.5,ALDE=5285;BIRC=12845;LICH=5334;MOSS=5089;PETF=1990;SEDG=5250;TUSS=8306;WILL=4374
