fraction_cible,tag,seed,type,n_orthos,orthos_utilises,detail,n_tiles,fraction_reelle
0.01,frac001_seed0,0,bloc_spatial_contigu,1,20230724_birch24_m3m,"[{""ortho"": ""20230724_birch24_m3m"", ""n_tiles"": 494, ""offset"": 0, ""tile_id_range"": [8498, 11928], ""taille_ortho"": 9029, ""max_gap_indices_absolus"": 192}]",494,0.01
0.01,frac001_seed1,1,bloc_spatial_contigu,1,20230725_tussockfieldsub_m3m,"[{""ortho"": ""20230725_tussockfieldsub_m3m"", ""n_tiles"": 494, ""offset"": 60, ""tile_id_range"": [4010, 15506], ""taille_ortho"": 1214, ""max_gap_indices_absolus"": 5454}]",494,0.01
0.01,frac001_seed2,2,bloc_spatial_contigu,1,20230725_alder3_m3m,"[{""ortho"": ""20230725_alder3_m3m"", ""n_tiles"": 494, ""offset"": 44, ""tile_id_range"": [7146, 12418], ""taille_ortho"": 1806, ""max_gap_indices_absolus"": 173}]",494,0.01
0.05,frac005_seed0,0,bloc_spatial_contigu,1,20230724_birch24_m3m,"[{""ortho"": ""20230724_birch24_m3m"", ""n_tiles"": 2472, ""offset"": 0, ""tile_id_range"": [8498, 21768], ""taille_ortho"": 9029, ""max_gap_indices_absolus"": 192}]",2472,0.05
0.05,frac005_seed1,1,bloc_spatial_contigu,1,20230724_riparianshrub32_m3m,"[{""ortho"": ""20230724_riparianshrub32_m3m"", ""n_tiles"": 2472, ""offset"": 1616, ""tile_id_range"": [13041, 22206], ""taille_ortho"": 4278, ""max_gap_indices_absolus"": 156}]",2472,0.05
0.05,frac005_seed2,2,bloc_spatial_contigu,1,20230724_riparianshrub32_m3m,"[{""ortho"": ""20230724_riparianshrub32_m3m"", ""n_tiles"": 2472, ""offset"": 27, ""tile_id_range"": [6705, 15179], ""taille_ortho"": 4278, ""max_gap_indices_absolus"": 148}]",2472,0.05
0.1,frac010_seed0,0,bloc_spatial_contigu,1,20230724_birch24_m3m,"[{""ortho"": ""20230724_birch24_m3m"", ""n_tiles"": 4943, ""offset"": 0, ""tile_id_range"": [8498, 26878], ""taille_ortho"": 9029, ""max_gap_indices_absolus"": 192}]",4943,0.1
0.1,frac010_seed1,1,bloc_spatial_contigu,1,20230724_riparianshrub20_m3m,"[{""ortho"": ""20230724_riparianshrub20_m3m"", ""n_tiles"": 4943, ""offset"": 15, ""tile_id_range"": [1526, 23019], ""taille_ortho"": 4977, ""max_gap_indices_absolus"": 3017}]",4943,0.1
0.1,frac010_seed2,2,bloc_spatial_contigu,1,20230724_birch24_m3m,"[{""ortho"": ""20230724_birch24_m3m"", ""n_tiles"": 4943, ""offset"": 3652, ""tile_id_range"": [24347, 34136], ""taille_ortho"": 9029, ""max_gap_indices_absolus"": 103}]",4943,0.1
0.25,frac025_seed0,0,orthos_entieres,2,20230724_birch24_m3m;20230724_sedge_mosstundra16_m3m,"[{""ortho"": ""20230724_birch24_m3m"", ""n_tiles"": 9029, ""tile_id_range"": [8498, 35296]}, {""ortho"": ""20230724_sedge_mosstundra16_m3m"", ""n_tiles"": 3329, ""tile_id_range"": [7477, 39354]}]",12358,0.25
0.25,frac025_seed1,1,orthos_entieres,6,20230724_polygon29_m3m;20230724_sedge_mosstundra16_m3m;20230726_polygon5_m3m;20230724_alder43_m3m;20230725_tussockfieldsub_m3m;20230724_lichentundra45_m3m,"[{""ortho"": ""20230724_polygon29_m3m"", ""n_tiles"": 3615, ""tile_id_range"": [8030, 33393]}, {""ortho"": ""20230724_sedge_mosstundra16_m3m"", ""n_tiles"": 3329, ""tile_id_range"": [7477, 39354]}, {""ortho"": ""20230726_polygon5_m3m"", ""n_tiles"": 1618, ""tile_id_range"": [8315, 32959]}, {""ortho"": ""20230724_alder43_m3m"", ""n_tiles"": 1581, ""tile_id_range"": [7421, 24809]}, {""ortho"": ""20230725_tussockfieldsub_m3m"", ""n_tiles"": 1214, ""tile_id_range"": [3517, 18553]}, {""ortho"": ""20230724_lichentundra45_m3m"", ""n_tiles"": 1197, ""tile_id_range"": [9157, 21225]}]",12554,0.254
0.25,frac025_seed2,2,orthos_entieres,4,20230724_riparianshrub32_m3m;20230724_polygon29_m3m;20230724_sedge_mosstundra16_m3m;20230724_lichentundra45_m3m,"[{""ortho"": ""20230724_riparianshrub32_m3m"", ""n_tiles"": 4278, ""tile_id_range"": [6390, 24099]}, {""ortho"": ""20230724_polygon29_m3m"", ""n_tiles"": 3615, ""tile_id_range"": [8030, 33393]}, {""ortho"": ""20230724_sedge_mosstundra16_m3m"", ""n_tiles"": 3329, ""tile_id_range"": [7477, 39354]}, {""ortho"": ""20230724_lichentundra45_m3m"", ""n_tiles"": 1197, ""tile_id_range"": [9157, 21225]}]",12419,0.2512
0.5,frac050_seed0,0,orthos_entieres,6,20230724_birch24_m3m;20230728_tussockfield46_m3m;20230724_lichentundra21_m3m;20230725_alder3_m3m;20230724_alder43_m3m;20230725_tussockfieldsub_m3m,"[{""ortho"": ""20230724_birch24_m3m"", ""n_tiles"": 9029, ""tile_id_range"": [8498, 35296]}, {""ortho"": ""20230728_tussockfield46_m3m"", ""n_tiles"": 8914, ""tile_id_range"": [7573, 32900]}, {""ortho"": ""20230724_lichentundra21_m3m"", ""n_tiles"": 2172, ""tile_id_range"": [8408, 33940]}, {""ortho"": ""20230725_alder3_m3m"", ""n_tiles"": 1806, ""tile_id_range"": [6616, 23826]}, {""ortho"": ""20230724_alder43_m3m"", ""n_tiles"": 1581, ""tile_id_range"": [7421, 24809]}, {""ortho"": ""20230725_tussockfieldsub_m3m"", ""n_tiles"": 1214, ""tile_id_range"": [3517, 18553]}]",24716,0.5
0.5,frac050_seed1,1,orthos_entieres,4,20230724_birch24_m3m;20230728_tussockfield46_m3m;20230724_riparianshrub20_m3m;20230724_alder43_m3m,"[{""ortho"": ""20230724_birch24_m3m"", ""n_tiles"": 9029, ""tile_id_range"": [8498, 35296]}, {""ortho"": ""20230728_tussockfield46_m3m"", ""n_tiles"": 8914, ""tile_id_range"": [7573, 32900]}, {""ortho"": ""20230724_riparianshrub20_m3m"", ""n_tiles"": 4977, ""tile_id_range"": [1367, 23072]}, {""ortho"": ""20230724_alder43_m3m"", ""n_tiles"": 1581, ""tile_id_range"": [7421, 24809]}]",24501,0.4956
0.5,frac050_seed2,2,orthos_entieres,8,20230728_tussockfield46_m3m;20230724_polygon29_m3m;20230724_sedge_mosstundra16_m3m;20230724_alder39_m3m;20230724_lichentundra21_m3m;20230725_alder3_m3m;20230724_alder43_m3m;20230724_lichentundra45_m3m,"[{""ortho"": ""20230728_tussockfield46_m3m"", ""n_tiles"": 8914, ""tile_id_range"": [7573, 32900]}, {""ortho"": ""20230724_polygon29_m3m"", ""n_tiles"": 3615, ""tile_id_range"": [8030, 33393]}, {""ortho"": ""20230724_sedge_mosstundra16_m3m"", ""n_tiles"": 3329, ""tile_id_range"": [7477, 39354]}, {""ortho"": ""20230724_alder39_m3m"", ""n_tiles"": 2489, ""tile_id_range"": [6866, 22954]}, {""ortho"": ""20230724_lichentundra21_m3m"", ""n_tiles"": 2172, ""tile_id_range"": [8408, 33940]}, {""ortho"": ""20230725_alder3_m3m"", ""n_tiles"": 1806, ""tile_id_range"": [6616, 23826]}, {""ortho"": ""20230724_alder43_m3m"", ""n_tiles"": 1581, ""tile_id_range"": [7421, 24809]}, {""ortho"": ""20230724_lichentundra45_m3m"", ""n_tiles"": 1197, ""tile_id_range"": [9157, 21225]}]",25103,0.5078
0.75,frac075_seed0,0,orthos_entieres,13,20230728_tussockfield46_m3m;20230724_riparianshrub20_m3m;20230724_riparianshrub32_m3m;20230724_polygon29_m3m;20230724_alder39_m3m;20230724_birch33_m3m;20230724_lichentundra21_m3m;20230725_alder3_m3m;20230726_polygon5_m3m;20230724_alder43_m3m;20230725_tussockfieldsub_m3m;20230724_lichentundra45_m3m;20230728_tussockfield53_m3m,"[{""ortho"": ""20230728_tussockfield46_m3m"", ""n_tiles"": 8914, ""tile_id_range"": [7573, 32900]}, {""ortho"": ""20230724_riparianshrub20_m3m"", ""n_tiles"": 4977, ""tile_id_range"": [1367, 23072]}, {""ortho"": ""20230724_riparianshrub32_m3m"", ""n_tiles"": 4278, ""tile_id_range"": [6390, 24099]}, {""ortho"": ""20230724_polygon29_m3m"", ""n_tiles"": 3615, ""tile_id_range"": [8030, 33393]}, {""ortho"": ""20230724_alder39_m3m"", ""n_tiles"": 2489, ""tile_id_range"": [6866, 22954]}, {""ortho"": ""20230724_birch33_m3m"", ""n_tiles"": 2231, ""tile_id_range"": [8760, 34874]}, {""ortho"": ""20230724_lichentundra21_m3m"", ""n_tiles"": 2172, ""tile_id_range"": [8408, 33940]}, {""ortho"": ""20230725_alder3_m3m"", ""n_tiles"": 1806, ""tile_id_range"": [6616, 23826]}, {""ortho"": ""20230726_polygon5_m3m"", ""n_tiles"": 1618, ""tile_id_range"": [8315, 32959]}, {""ortho"": ""20230724_alder43_m3m"", ""n_tiles"": 1581, ""tile_id_range"": [7421, 24809]}, {""ortho"": ""20230725_tussockfieldsub_m3m"", ""n_tiles"": 1214, ""tile_id_range"": [3517, 18553]}, {""ortho"": ""20230724_lichentundra45_m3m"", ""n_tiles"": 1197, ""tile_id_range"": [9157, 21225]}, {""ortho"": ""20230728_tussockfield53_m3m"", ""n_tiles"": 983, ""tile_id_range"": [7877, 33998]}]",37075,0.75
0.75,frac075_seed1,1,orthos_entieres,10,20230724_birch24_m3m;20230728_tussockfield46_m3m;20230724_riparianshrub32_m3m;20230724_polygon29_m3m;20230724_alder39_m3m;20230724_lichentundra21_m3m;20230725_alder3_m3m;20230726_polygon5_m3m;20230724_alder43_m3m;20230724_lichentundra45_m3m,"[{""ortho"": ""20230724_birch24_m3m"", ""n_tiles"": 9029, ""tile_id_range"": [8498, 35296]}, {""ortho"": ""20230728_tussockfield46_m3m"", ""n_tiles"": 8914, ""tile_id_range"": [7573, 32900]}, {""ortho"": ""20230724_riparianshrub32_m3m"", ""n_tiles"": 4278, ""tile_id_range"": [6390, 24099]}, {""ortho"": ""20230724_polygon29_m3m"", ""n_tiles"": 3615, ""tile_id_range"": [8030, 33393]}, {""ortho"": ""20230724_alder39_m3m"", ""n_tiles"": 2489, ""tile_id_range"": [6866, 22954]}, {""ortho"": ""20230724_lichentundra21_m3m"", ""n_tiles"": 2172, ""tile_id_range"": [8408, 33940]}, {""ortho"": ""20230725_alder3_m3m"", ""n_tiles"": 1806, ""tile_id_range"": [6616, 23826]}, {""ortho"": ""20230726_polygon5_m3m"", ""n_tiles"": 1618, ""tile_id_range"": [8315, 32959]}, {""ortho"": ""20230724_alder43_m3m"", ""n_tiles"": 1581, ""tile_id_range"": [7421, 24809]}, {""ortho"": ""20230724_lichentundra45_m3m"", ""n_tiles"": 1197, ""tile_id_range"": [9157, 21225]}]",36699,0.7424
